match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,solo_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_579608034,2026-04-30 23:37:10,420,CLASSIC,MATCHED_GAME,16.9.771.8383,UTILITY,Nami,False,0,12,9,36,51,32,32,0.82,81,2.08,39,6,8,9358,8178,2337,38.95,21,39,18,3,4,11,6,12,0,8,7,3,4,6,8,0,4,0,4,2,4
JP1_579596244,2026-04-30 22:58:06,400,CLASSIC,MATCHED_GAME,16.9.771.8383,UTILITY,Nami,True,3,1,15,35,11,29,39,1.37,85,2.99,30,11,3,9091,9284,1704,28.4,19,29,12,10,1,1,11,1,1,5,4,2,3,6,3,3,0,2,0,3,0
JP1_579462254,2026-04-30 03:29:33,400,CLASSIC,MATCHED_GAME,16.9.769.5709,UTILITY,Nami,False,3,6,11,14,36,16,22,0.83,53,2.01,20,0,5,7330,9813,1586,26.43,20,27,12,7,1,4,7,5,0,6,3,3,4,7,1,0,2,0,1,0,4
JP1_579457423,2026-04-30 02:54:07,400,CLASSIC,MATCHED_GAME,16.9.769.5709,UTILITY,Nami,False,1,7,1,9,29,7,35,1.12,63,2.01,30,5,6,7756,5857,1879,31.32,9,16,6,0,0,6,0,6,0,1,2,3,0,3,3,1,1,0,1,0,3
JP1_579453884,2026-04-30 02:20:58,400,CLASSIC,MATCHED_GAME,16.9.769.5709,UTILITY,Nami,True,3,3,22,41,6,47,25,0.86,67,2.31,31,2,7,9342,9136,1743,29.05,28,28,15,14,0,1,12,3,0,8,5,2,5,8,2,4,1,2,0,5,0
JP1_579447985,2026-04-30 01:42:01,400,CLASSIC,MATCHED_GAME,16.9.769.5709,UTILITY,Nami,False,0,10,12,20,38,36,21,0.68,70,2.27,34,1,5,7334,9357,1849,30.82,22,24,11,4,1,6,1,10,0,2,3,6,3,5,3,1,2,0,1,1,3
JP1_579440772,2026-04-30 01:03:17,400,CLASSIC,MATCHED_GAME,16.9.769.5709,UTILITY,Renata,False,0,5,9,19,27,22,31,0.9,94,2.72,37,7,4,8350,6017,2072,34.53,14,23,7,2,1,4,2,5,1,1,2,3,0,3,4,1,2,0,0,0,3
JP1_579432372,2026-04-30 00:19:47,400,CLASSIC,MATCHED_GAME,16.9.769.5709,UTILITY,Nami,False,0,7,4,13,38,13,28,0.87,65,2.03,24,3,1,7310,8106,1921,32.02,11,24,9,1,1,7,2,7,1,1,1,6,1,5,3,0,0,0,1,0,5
JP1_579416870,2026-04-29 23:29:53,400,CLASSIC,MATCHED_GAME,16.9.769.5709,UTILITY,Nami,False,3,9,25,41,40,77,33,0.77,103,2.39,42,7,5,11915,13942,2585,43.08,37,41,22,11,3,8,13,9,0,8,8,6,8,5,9,1,2,1,1,2,4
JP1_579407735,2026-04-29 22:59:49,400,CLASSIC,MATCHED_GAME,16.9.769.5709,UTILITY,Nami,True,1,2,7,20,8,28,31,1.26,58,2.35,25,4,4,6482,7112,1482,24.7,10,19,6,4,0,2,4,2,0,4,1,1,2,4,0,3,0,0,0,3,1
