match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,solo_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_597808765,2026-08-17 00:05:48,400,CLASSIC,MATCHED_GAME,16.16.804.9184,UTILITY,Leona,False,1,13,18,41,43,57,30,0.79,116,3.04,45,8,11,9940,14105,2292,38.2,32,39,18,7,3,8,5,13,0,5,6,7,7,5,6,1,2,0,2,1,2
JP1_597460769,2026-08-14 23:22:37,400,CLASSIC,MATCHED_GAME,16.16.804.9184,UTILITY,Leona,True,1,3,14,25,5,32,29,1.0,69,2.38,28,6,10,8287,8582,1737,28.95,18,18,9,7,1,1,6,3,0,6,2,1,2,5,2,3,0,0,0,4,1
JP1_597320888,2026-08-14 00:19:40,440,CLASSIC,MATCHED_GAME,16.16.804.9184,UTILITY,Nami,True,1,8,20,42,33,79,21,0.6,108,3.1,45,4,7,9403,7982,2093,34.88,29,32,13,6,1,6,5,8,0,5,2,6,3,5,5,2,3,1,0,2,1
JP1_597312428,2026-08-13 23:32:22,440,CLASSIC,MATCHED_GAME,16.16.804.9184,UTILITY,Leona,False,2,9,3,23,37,27,35,0.83,137,3.24,62,7,14,9460,8423,2535,42.25,14,28,12,4,1,7,3,9,0,3,6,3,3,3,6,0,4,0,0,0,2
JP1_597301853,2026-08-13 22:47:37,420,CLASSIC,MATCHED_GAME,16.16.804.9184,UTILITY,Janna,False,2,8,2,10,35,15,29,0.84,117,3.4,49,10,17,9010,4259,2067,34.45,12,29,10,2,0,8,2,8,0,5,3,2,3,2,5,1,2,0,1,0,1
JP1_597285294,2026-08-13 21:25:56,400,CLASSIC,MATCHED_GAME,16.16.804.9184,UTILITY,Morgana,True,0,0,10,20,4,20,41,1.77,45,1.95,24,3,9,6724,8595,1387,23.12,10,14,6,4,2,0,6,0,0,1,5,0,2,4,0,1,0,1,0,2,0
JP1_597173784,2026-08-13 00:56:50,420,CLASSIC,MATCHED_GAME,16.16.804.9184,UTILITY,Leona,True,1,8,18,34,23,58,32,0.95,91,2.71,45,5,13,9042,9682,2016,33.6,27,25,14,6,2,6,6,8,0,4,5,5,4,4,6,4,1,1,1,4,0
JP1_597167711,2026-08-13 00:23:08,420,CLASSIC,MATCHED_GAME,16.16.804.9184,UTILITY,Nami,False,0,12,8,11,42,20,17,0.6,59,2.09,28,3,10,7057,6628,1696,28.27,20,27,13,1,1,11,1,12,0,4,4,5,5,6,2,1,5,0,2,1,1
JP1_597033125,2026-08-12 01:38:41,420,CLASSIC,MATCHED_GAME,16.15.802.4387,UTILITY,Leona,True,1,7,15,28,28,52,29,1.04,58,2.07,27,3,7,8110,9535,1679,27.98,23,22,13,5,3,5,6,7,0,4,5,4,7,5,1,3,1,0,0,4,2
JP1_597024269,2026-08-12 00:44:01,400,CLASSIC,MATCHED_GAME,16.15.802.4387,UTILITY,Seraphine,False,1,6,1,8,26,6,55,1.8,80,2.61,30,9,9,7519,9047,1838,30.63,8,18,7,1,0,6,1,6,0,3,3,1,2,3,2,0,1,0,1,0,4
JP1_596841033,2026-08-10 23:30:12,400,CLASSIC,MATCHED_GAME,16.15.802.4387,UTILITY,Leona,True,5,10,21,54,46,69,34,0.85,135,3.36,57,10,13,12998,15316,2409,40.15,36,42,17,8,2,7,7,10,0,6,3,8,6,6,5,1,2,2,0,2,1
JP1_596246810,2026-08-07 01:41:05,400,CLASSIC,MATCHED_GAME,16.15.802.4387,UTILITY,Leona,True,3,1,4,18,5,12,20,0.94,47,2.2,21,7,6,5943,5411,1280,21.33,8,18,6,5,1,0,5,1,0,5,1,0,3,3,0,0,0,0,0,2,0
JP1_596242575,2026-08-07 01:01:17,400,CLASSIC,MATCHED_GAME,16.15.802.4387,UTILITY,Morgana,True,5,1,8,28,7,28,36,1.5,63,2.62,36,3,17,7888,11921,1442,24.03,14,26,9,8,1,0,8,1,0,3,6,0,4,5,0,2,0,0,0,4,0
JP1_596223359,2026-08-06 23:23:16,400,CLASSIC,MATCHED_GAME,16.15.802.4387,UTILITY,Morgana,True,2,8,13,35,27,61,53,1.46,106,2.91,47,9,14,10468,18257,2184,36.4,23,22,12,7,0,5,4,8,1,4,3,4,5,4,3,4,0,2,1,1,0
JP1_596212015,2026-08-06 22:29:00,400,CLASSIC,MATCHED_GAME,16.15.802.4387,UTILITY,Pantheon,False,2,15,11,27,54,56,85,1.72,131,2.65,48,12,10,13990,17599,2963,49.38,28,36,18,5,2,11,3,15,2,3,5,8,5,5,8,4,0,1,0,4,5
JP1_596096320,2026-08-05 23:53:01,400,CLASSIC,MATCHED_GAME,16.15.802.4387,UTILITY,Seraphine,False,0,3,3,8,19,7,41,2.0,49,2.39,19,4,4,5147,9559,1229,20.48,6,18,4,1,1,2,1,3,0,3,0,1,1,3,0,0,1,0,0,0,0
JP1_596086841,2026-08-05 23:15:09,400,CLASSIC,MATCHED_GAME,16.15.802.4387,MIDDLE,Lissandra,False,8,11,5,23,43,29,142,4.37,54,1.66,21,8,6,12694,23973,1950,32.5,24,28,15,3,1,11,5,10,0,2,7,6,4,6,5,2,4,1,2,0,2
JP1_595715648,2026-08-03 02:00:01,420,CLASSIC,MATCHED_GAME,16.15.801.3452,UTILITY,Seraphine,False,1,5,7,17,28,28,67,1.88,103,2.89,43,9,12,9005,9181,2135,35.58,13,20,9,3,2,4,4,5,0,1,5,3,2,3,4,0,1,0,0,1,3
JP1_595704070,2026-08-03 00:22:22,420,CLASSIC,MATCHED_GAME,16.15.801.3452,UTILITY,Seraphine,False,2,7,6,24,39,30,37,1.23,63,2.09,28,2,8,7875,8732,1805,30.08,15,34,10,2,1,7,3,7,0,5,3,2,3,5,2,0,1,0,1,0,3
JP1_595694813,2026-08-02 23:45:22,420,CLASSIC,MATCHED_GAME,16.15.801.3452,UTILITY,Seraphine,False,2,12,14,23,44,41,44,1.35,77,2.37,41,7,15,9579,13341,1949,32.48,28,33,18,7,0,11,6,12,1,4,8,5,3,9,6,0,5,0,1,1,2
JP1_595638404,2026-08-02 18:45:07,420,CLASSIC,MATCHED_GAME,16.15.801.3452,UTILITY,Seraphine,False,1,7,13,27,50,46,85,1.82,134,2.87,70,9,16,12497,10483,2804,46.73,21,45,13,6,2,5,6,7,1,1,3,8,0,4,9,0,3,0,2,1,2
JP1_595635152,2026-08-02 18:20:05,400,CLASSIC,MATCHED_GAME,16.15.801.3452,UTILITY,Nami,True,2,4,4,18,12,13,13,0.85,33,2.15,14,1,7,4551,3180,921,15.35,10,17,5,2,0,3,1,4,1,1,3,0,4,1,0,0,0,1,0,1,0
