match_id,report_text
JP1_592594621,"ランク / W / 34:25
SUP / ナミ
1 / 4 / 11 (22 / 24 / 33), 1.1 , 37 , 112"
JP1_592588648,"ランク / W / 30:22
SUP / ナミ
3 / 3 / 13 (25 / 20 / 41), 0.9 , 26 , 82"
JP1_592582664,"ランク / W / 24:40
SUP / ナミ
1 / 4 / 12 (25 / 11 / 29), 0.8 , 21 , 53"
JP1_592470895,"ランク / L / 27:06
SUP / ナミ
0 / 7 / 2 (7 / 28 / 6), 1.0 , 28 , 53"
JP1_592468449,"ランク / L / 27:39
SUP / ナミ
0 / 6 / 6 (12 / 31 / 14), 0.8 , 22 , 64"
JP1_592307679,"ランク / L / 33:57
SUP / ナミ
0 / 8 / 10 (19 / 43 / 26), 0.8 , 28 , 84"
JP1_592306373,"ランク / L / 20:29
TOP / オラフ
0 / 6 / 0 (4 / 20 / 6), 3.8 , 77 , 14"
JP1_592134035,"ドラフト / L / 59:36
SUP / ナミ
1 / 4 / 15 (27 / 39 / 56), 0.8 , 50 , 155"
JP1_592130272,"ドラフト / L / 27:00
MID / リサンドラ
3 / 7 / 0 (15 / 37 / 16), 4.7 , 126 , 25"
JP1_591847983,"ドラフト / W / 43:01
SUP / ナミ
1 / 10 / 28 (43 / 51 / 80), 0.9 , 41 , 123"
JP1_591845835,"ドラフト / W / 32:25
SUP / ラカン
1 / 5 / 13 (30 / 21 / 44), 1.1 , 36 , 77"
JP1_591434669,"ドラフト / W / 30:33
SUP / ナミ
2 / 3 / 11 (27 / 21 / 35), 0.8 , 24 , 76"
JP1_591429144,"ドラフト / W / 39:23
SUP / モルガナ
3 / 9 / 12 (31 / 41 / 43), 1.2 , 48 , 93"
JP1_591420730,"ドラフト / W / 31:21
SUP / ミリオ
1 / 1 / 11 (28 / 16 / 33), 1.3 , 40 , 75"
JP1_591256919,"ドラフト / W / 26:18
SUP / ナミ
3 / 2 / 13 (26 / 11 / 34), 1.2 , 32 , 64"
