match_id,champion,kills,deaths,assists,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_557138077,Seraphine,8,8,11,27,21,13,6,2,5,5,8,1,5,6,4,7,2,2,0,4,0,0,1
JP1_557150823,Seraphine,8,3,14,25,18,11,9,2,0,8,3,5,3,2,10,1,0,4,0,2,0,3,0
JP1_557158897,Seraphine,1,7,11,19,20,11,4,4,3,4,7,4,4,2,7,4,0,2,1,3,0,1,0
JP1_557167749,Seraphine,2,8,5,15,22,11,1,2,8,3,8,4,6,1,8,3,0,0,1,0,4,0,2
JP1_557175137,Seraphine,5,7,12,24,34,12,5,2,5,5,7,3,5,4,4,8,0,4,1,0,1,1,2
JP1_557179973,Seraphine,3,7,4,14,20,10,3,0,7,3,7,5,3,2,7,3,0,0,2,0,1,0,2
JP1_557187279,Seraphine,1,4,4,9,20,5,1,0,4,1,4,2,2,1,4,1,0,0,3,0,1,0,3
JP1_557193538,Seraphine,5,5,10,20,32,11,6,1,4,6,5,4,4,3,4,6,1,4,2,0,0,1,1
JP1_557375160,Seraphine,1,4,7,12,25,9,6,0,3,5,4,3,4,2,4,5,0,1,0,1,0,3,0
JP1_557402127,Seraphine,4,7,14,25,31,14,7,5,2,7,7,7,2,5,7,7,0,3,1,1,0,0,2
JP1_557411983,Seraphine,4,3,4,11,24,6,4,1,1,3,3,3,1,1,6,0,0,2,0,1,0,2,0
JP1_557419532,Morgana,3,7,7,17,27,12,6,0,6,5,7,4,6,2,2,4,6,1,3,0,1,0,5
JP1_557430876,Seraphine,3,9,5,17,28,14,5,0,9,5,9,8,5,0,5,7,2,0,2,0,1,1,6
JP1_557642734,Rakan,0,7,4,11,18,8,1,1,6,1,7,5,3,0,4,4,0,0,2,0,0,1,1
JP1_557658703,Seraphine,3,9,12,24,29,14,6,1,7,5,9,6,3,4,4,6,4,4,1,0,0,5,1
JP1_557674960,Janna,2,11,8,21,35,15,4,2,9,4,11,8,3,4,5,9,1,1,2,0,2,1,3
JP1_557691355,Seraphine,0,6,1,7,20,7,0,1,6,1,6,3,3,1,3,4,0,1,0,0,0,0,1
JP1_557700140,Seraphine,2,7,1,10,23,9,1,1,7,2,7,4,2,2,4,5,0,0,0,0,2,0,5
JP1_557957945,Seraphine,5,7,10,22,22,12,7,0,5,6,6,4,2,6,6,6,0,0,2,0,1,3,2
JP1_557967038,Seraphine,4,7,1,12,23,9,3,1,5,3,6,5,3,1,5,4,0,0,1,0,1,1,2
JP1_557975900,Morgana,2,5,9,16,21,12,10,0,2,7,5,7,1,3,3,8,1,2,1,0,0,2,0
JP1_558085150,Morgana,1,9,10,20,32,13,4,2,7,4,9,7,4,2,4,5,4,2,3,0,0,0,3
JP1_558094831,Seraphine,2,6,9,17,19,10,5,2,3,4,6,5,3,2,8,2,0,0,0,2,0,1,2
JP1_558205061,Kindred,0,7,0,7,25,7,0,0,7,0,7,1,4,1,3,4,0,0,2,0,1,0,3
JP1_558212307,Seraphine,3,7,0,10,18,7,0,1,6,0,7,0,4,0,3,4,0,0,1,0,0,0,1
JP1_558214951,Gwen,3,7,2,12,29,11,3,1,7,4,7,7,2,1,2,4,5,2,2,0,0,0,3
JP1_558223025,Seraphine,2,5,12,19,21,7,3,1,3,2,5,1,1,5,2,5,0,4,0,3,0,2,0
JP1_558384877,Braum,3,1,17,21,33,13,10,2,1,12,1,5,5,3,11,2,0,3,0,3,0,2,0
JP1_558394454,Morgana,2,9,1,12,26,11,1,1,9,2,9,8,2,0,7,4,0,0,2,0,0,1,1
JP1_558400880,Leona,4,5,14,23,25,15,10,1,4,10,5,7,4,4,7,4,4,0,1,2,0,6,0
JP1_558410103,Seraphine,2,15,6,23,24,16,2,1,13,2,14,7,4,4,6,7,3,1,1,0,0,1,2
JP1_558594120,Braum,0,0,11,11,26,5,5,0,0,5,0,1,2,2,5,0,0,0,0,1,0,2,0
JP1_558597828,Braum,1,4,20,25,26,13,9,2,2,9,4,5,4,4,10,3,0,3,1,3,0,4,0
JP1_558808449,Braum,1,1,25,27,20,9,9,0,0,8,1,5,2,2,9,0,0,1,0,2,0,2,0
JP1_558815171,Seraphine,1,6,0,7,25,7,0,1,6,1,6,1,3,3,1,3,3,0,0,0,1,0,2
JP1_558820492,Janna,2,4,0,6,21,4,1,0,3,0,4,0,4,0,2,2,0,0,1,0,1,0,0
JP1_559022805,Morgana,1,9,1,11,28,11,2,0,9,2,9,3,2,3,4,6,1,0,1,0,0,0,4
JP1_559031651,AurelionSol,0,9,1,10,21,9,0,0,9,0,9,2,2,2,4,5,0,0,1,0,0,0,4
JP1_559041013,Braum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP1_559049843,Braum,1,7,7,15,25,11,4,1,6,4,7,3,5,3,3,8,0,1,3,0,4,0,1
JP1_559156375,Braum,1,2,12,15,18,8,6,1,1,6,2,1,5,2,3,5,0,3,0,1,0,5,0
JP1_559163549,Braum,2,6,3,11,17,6,1,0,5,1,5,0,2,4,2,4,0,1,1,0,4,0,1
JP1_559170201,Janna,0,9,9,18,27,9,2,1,6,0,9,1,4,3,3,6,0,0,3,0,3,0,1
JP1_559230598,Braum,2,5,13,20,32,12,8,0,4,7,5,4,4,4,5,7,0,2,1,0,0,3,0
JP1_559272336,Seraphine,2,5,13,20,28,12,6,1,5,7,5,4,4,4,2,7,3,1,3,2,0,2,0
JP1_559283591,Seraphine,3,13,7,23,25,14,0,1,13,1,13,3,6,5,3,6,5,1,1,0,5,0,3
JP1_559294070,Seraphine,3,0,2,5,19,4,3,1,0,4,0,1,2,0,3,1,0,0,0,0,0,1,0
JP1_559299127,Seraphine,2,10,16,28,36,17,9,3,5,7,10,4,11,2,3,8,6,3,1,0,0,3,1
JP1_559306602,Braum,0,1,2,3,22,2,2,0,0,1,1,0,1,1,0,2,0,1,0,1,0,0,0
JP1_559555065,Braum,2,8,15,25,21,12,4,2,6,4,8,4,2,6,3,4,5,1,3,0,1,4,1
JP1_559904291,Morgana,0,8,3,11,22,8,1,0,7,1,7,4,0,4,3,5,0,1,1,0,2,0,0
JP1_559913431,Braum,0,6,15,21,31,12,5,2,5,6,6,4,6,2,2,8,2,4,1,1,0,5,0
JP1_559929645,Braum,0,8,4,12,20,8,1,0,7,0,8,2,2,4,0,4,4,2,1,0,1,0,2
JP1_560144722,Janna,1,7,1,9,26,7,0,1,6,0,7,1,1,5,0,3,4,1,3,0,2,1,2
JP1_560317814,Seraphine,2,8,5,15,36,12,1,5,6,4,8,4,3,2,4,2,6,2,1,1,0,1,1
JP1_560329757,Janna,1,7,18,26,24,11,6,0,5,4,7,2,4,5,5,4,2,2,1,1,0,3,1
JP1_560340242,Braum,2,8,5,15,28,11,2,2,7,3,8,1,6,4,2,7,2,1,1,2,1,0,5
JP1_560359757,Janna,2,5,3,10,15,6,0,2,4,1,5,1,4,1,4,2,0,0,2,0,1,0,2
JP1_560365124,Braum,0,2,2,4,19,4,1,1,2,2,2,3,1,0,2,2,0,0,2,0,0,0,1
JP1_560501908,Galio,0,9,15,24,31,17,8,0,9,8,9,3,9,2,4,7,6,2,4,0,0,1,1
JP1_560516506,Janna,2,5,7,14,31,10,5,2,3,5,5,5,2,3,5,4,1,1,2,0,1,2,1
JP1_560528224,Braum,2,2,7,11,18,7,5,0,2,5,2,4,3,0,3,4,0,1,0,1,0,2,0
JP1_560535317,Janna,0,4,17,21,21,9,7,1,1,5,4,3,4,2,2,4,3,0,0,2,1,4,0
JP1_560549085,Braum,1,13,3,17,31,13,0,2,11,0,13,6,4,2,5,6,2,0,2,0,1,0,6
JP1_560555990,Morgana,3,11,3,17,29,14,2,2,10,3,11,6,3,5,5,5,4,1,4,0,2,1,5
JP1_560564814,Seraphine,1,9,5,15,25,11,1,2,8,2,9,4,3,3,1,8,2,1,4,1,0,0,4
JP1_560573025,Seraphine,0,7,1,8,23,6,0,0,6,0,6,1,2,3,1,3,2,0,2,0,1,0,3
JP1_560924039,Braum,1,3,5,9,28,7,3,0,4,4,3,2,4,1,2,4,1,2,0,0,1,1,0
JP1_560937860,Braum,1,10,2,13,28,11,1,0,10,1,10,7,3,1,6,5,0,1,1,0,0,0,1
JP1_560945235,Braum,0,12,6,18,30,13,1,4,8,1,12,5,3,5,3,4,6,2,2,1,3,0,4
JP1_560953161,Nami,0,3,2,5,20,4,1,1,2,1,3,4,0,0,2,2,0,1,0,0,0,0,1
JP1_560983484,Seraphine,4,12,19,35,26,16,5,3,8,4,12,2,8,6,3,6,7,2,1,0,3,0,2
JP1_560998137,Leona,1,12,2,15,18,10,1,0,9,0,10,4,4,2,6,4,0,0,1,0,3,0,4
JP1_561005601,Braum,1,8,2,11,24,9,0,2,7,2,7,5,3,1,2,6,1,0,2,0,1,0,3
JP1_561015237,Braum,0,8,4,12,42,10,1,2,7,2,8,3,4,3,2,2,6,1,1,2,0,2,2
JP1_561382368,Janna,1,3,5,9,21,8,5,0,3,5,3,3,3,2,2,3,3,0,2,0,0,1,3
JP1_561395742,Braum,0,4,1,5,16,4,0,0,4,0,4,2,2,0,3,1,0,0,0,0,0,0,1
JP1_561402837,Janna,0,11,11,22,30,14,4,2,8,3,11,2,6,4,3,3,8,1,2,2,1,1,3
